Партенр,Вопрос,Тип вопроса,Ответ,Ссылка на источник,Скриншот ответа,Задание по копирайту
СпортЭкспресс,6. В каком году было запущено приложение СпортЭкспресс для iPhone?,радиобаттоны,"2011;
1998;
2002;
2004;
2000;
2009;
1994;
2013;
2012;
2010;
2001;",http://www.sport-express.ru/advertwww/,http://my.jetscreenshot.com/demo/20140226-zvkc-99kb,
СпортЭкспресс,"7. Укажите фамилию спортивного обозревателя газеты СпортЭкспресс, который является обладателем ""Бриллиантовой совы"" игры ""Что? Где? Когда?""",текст,Левин,http://ss.sport-express.ru/files/advert/portal_presentation.pdf,http://my.jetscreenshot.com/demo/20140226-nkyo-115kb,
СпортЭкспресс,"8. В 1991 году вышел в свет первый номер газеты СпортЭкспресс. Назовите месяц, в котором это произошло.",текст,"август;
в августе",http://ss.sport-express.ru/files/advert/presentation_se_2013.pdf,http://my.jetscreenshot.com/demo/20140226-uc2b-63kb,
СпортЭкспресс,"9. В каком году начал писать о спорте Владимир Гескин, редактор СпортЭкспресс?",радиобаттоны,"1974;
1980;
1983;
1992;
1995;
2001;
1997;
1964;
1968;
2002;
1965;",http://ss.sport-express.ru/files/advert/portal_presentation.pdf,http://my.jetscreenshot.com/demo/20140226-byab-101kb,
СпортЭкспресс,10. В каком году был запущен портал sport-express.ru?,радиобаттоны,"1999;
2000;
2002;
2003;
2005;
2010;
2012;
2004;
2011;
2013;
1997;",http://ss.sport-express.ru/files/advert/presentation_se_2013.pdf,http://my.jetscreenshot.com/demo/20140227-nt5q-105kb,
Maxim,Вопросы по Maxim,,,,,
Maxim,1. Каков тираж журнала в России?,текст,"200000;
200 тысяч;
двести тысяч;
двести тыс.;
200 тыс;",http://www.maximonline.ru/zhurnal/_article/chto-takoe-maxim/,http://my.jetscreenshot.com/demo/20140227-ablv-64kb,5 вопросов о журнале
Maxim,"2. Укажите страну, в которой был основан MAXIM.",радиобаттоны,"Великобритания;
Испания;
Россия;
Ирландия;
Франция;
Бразилия;
Украина;
США;
Германия;
Чехия;
Италия;",http://www.maximonline.ru/zhurnal/_article/chto-takoe-maxim/,http://my.jetscreenshot.com/demo/20140227-p3to-64kb,
Maxim,3. Кто является президентом издательской команды MAXIM?,текст,"Виктор Шкулев;
Шкулев;",http://www.maximonline.ru/zhurnal/komanda-maxim/_article/izdatelskaya-komanda/,http://my.jetscreenshot.com/demo/20140227-hfw6-52kb,
Maxim,4. Для какой из этих стран есть онлайн версия журнала: Южная Корея или Греция?,текст,Южная Корея,http://www.maximonline.ru/zhurnal/komanda-maxim/_article/maxim-v-mire/,http://my.jetscreenshot.com/demo/20140227-xg2d-88kb,
Maxim,5. Кто изображен на обложке MAXIM в номере за март 2014 года?,радиобаттоны,"Ольга Зайцева;
группа ВИА ГРА;
Татьяна Арно;
Анна Семенович;
Лена Корикова;
Маша Малиновская;
Вера Брежнева;
Алена Водонаева;
Наташа Королева;
Даша Чаруша;
Виктория Сильвстедт;",http://www.maximonline.ru/zhurnal/reklamnyj-otdel/_article/reklama-vmaxim/,http://my.jetscreenshot.com/demo/20140227-kqgu-76kb,
Qiwi Wallet,Вопросы по Qiwi Wallet,,,,,
Qiwi Wallet,1. Что поможет расплатиться со счета Visa QIWI Wallet в любом магазине мира?,текст,"QIWI Visa Plastic;
Visa;
Visa Plastic;
пластиковая карта;
карта;
карточка;
пластиковая карточка;
карта Visa;
пластиковая карта Visa;",https://visa.qiwi.com/qiwicard/main.action,,"5 вопросов о компании (желательно, вопросы в разрезе сотрудничества с Сотмаркетом)"
Qiwi Wallet,2. Какое средство безопасности используется при платежах в Visa QIWI Wallet?,текст,"SMS-подтверждение;
СМС-подтверждение;
SMS;
СМС;",https://visa.qiwi.com/options/security.action,,
Qiwi Wallet,3. Какая комиссия за пополнение Visa QIWI Wallet в QIWI Терминалах?,радиобаттоны,"0%;
0.1%;
0.2%;
0.3%;
0.4%;
0.5%;
0.6%;
0.7%;
0.8%;
0.9%;
1%;",https://visa.qiwi.com/replenish/main.action,,
Qiwi Wallet,4. Какие данные требуются для регистрации Visa QIWI Wallet?,радиобаттоны,"Номер телефона;
ФИО;
Полные паспортные данные;
Адрес прописки;
Никакие данные не требуются;
Номер счета в банке;
Индивидуальный номер налогоплательщика;
Свидетельство индивидуального предпринимателя;
",https://visa.qiwi.com/support/help.action,,
Qiwi Wallet,5. С помощью Visa QIWI Wallet и QIWI Терминалов можно оплачивать услуги скольких провайдеров?,текст,"54 тысячи;
54 тысячи провайдеров;
54000;
54000 провайдеров;",https://visa.qiwi.com/company/qiwi.action,,
Qiwi Wallet,"6. Чтобы оплатить покупку из Visa QIWI Wallet без доступа в интернет, нужно отправить SMS  на номер … ?",текст,"7494;
семь четыре девять четыре;",https://visa.qiwi.com/ru/company/ussd.action,,
Qiwi Wallet,"7. Как можно оплатить покупку через QIWI: в Терминале, на сайте или в мобильном приложении?",радиобаттоны,"Все способы;
Электронными деньгами;
Пластиковой картой;
Переводом;
С лицевого счета сотового оператора;
Из QIWI Кошелька;
Через приложения для мобильных телефонов;
Наличными;",https://visa.qiwi.com/page/howtopay.action,,
Qiwi Wallet,8. Сколько QIWI Терминалов в мире?,текст,"169 тысяч;
169 000;
169-ть тысяч;",https://visa.qiwi.com/company/qiwi.action,,
Groupon,Вопросы по Groupon,,,,,
Groupon,1.В скольких странах представлена компания Groupon?,текст,"48;
сорок восемь;",http://press.groupon.ru/about?utm_medium=ref&utm_source=smt&utm_campaing=par_smt_olg_qwt,http://my.jetscreenshot.com/18644/20140318-xy6b-100kb.jpg,5 вопросов о компании
Groupon,2.В каком году компания Groupon стала публичной - IPO?,радиобаттоны,"2011;
2000;
2012;
2010;
2007;
2008;
2014;",http://press.groupon.ru/about?utm_medium=ref&utm_source=smt&utm_campaing=par_smt_olg_qwt,http://my.jetscreenshot.com/18644/20140318-9xn3-106kb.jpg,
Groupon,"3. Количество городов России, в которых представлены акции Groupon?",радиобаттоны,"65;
50;
45;
68;
32;
70;
88;
91;",http://press.groupon.ru/about?utm_medium=ref&utm_source=smt&utm_campaing=par_smt_olg_qwt,http://my.jetscreenshot.com/18644/20140318-l73c-124kb.jpg,
Groupon,4. Сколько бонусных баллов получает пользователь при регистрации на сайте Groupon?,радиобаттоны,"40;
15;
20;
30;
50;
70;
100;
25;
35;
60;
120;",http://groupon.ru/info/faq?utm_medium=ref&utm_source=smt&utm_campaing=par_smt_olg_qwt,http://my.jetscreenshot.com/18644/20140318-wd8k-93kb.jpg,
Groupon,"5.Сколько категорий в разделе ""Развлечение и Спорт""?",текст,"4;
четыре;",http://groupon.ru/?utm_medium=ref&utm_source=smt&utm_campaing=par_smt_olg_qwt,http://my.jetscreenshot.com/18644/20140318-ylea-100kb.jpg,
Сотмаркет,Вопросы по Сотмаркету,,,,,
Сотмаркет,"1.Сколько изначально было сотрудников в компании Сотмаркет? 
",радиобаттоны,"5;
10;
25;
30;
50;
100;
150;
200;
210;",http://www.sotmarket.ru/about/history/,http://screen.sotmarket.ru/20140226-e0w-29kb.jpg,10 вопросов о Сотмаркете
Сотмаркет,2. Что служило офисом для компании на начальном этапе?,радиобаттоны,"комната;
квартира;
частный дом;
склад;
магазин;
киоск;",http://www.sotmarket.ru/about/history/,http://screen.sotmarket.ru/20140226-32f-20kb.jpg,
Сотмаркет,3. В каком году впервые в ассортименте магазина появились сотовые телефоны?,радиобаттоны,"2006;
2005;
2004;
2003;
2001;
1999;
1997;
1992;
1989;
1988;",http://www.sotmarket.ru/about/history/,http://screen.sotmarket.ru/20140226-9mt-36kb.jpg,
Сотмаркет,4. С помощью какой программы на первых этапах проводилась онлайн-косультация клиентов?,Радиобаттоны,"ICQ;
Skype;
Pidgin;
Mail.ru;
Qip;
Miranda;
Mumble;
Psi;
Tango;",http://www.sotmarket.ru/about/history/,http://screen.sotmarket.ru/20140226-1f5-28kb.jpg,
Сотмаркет,5. В каком городе был открыт первый региональный офис компании Сотмаркет?,Радиобаттоны,"Санкт-Петербург;
Москва;
Новосибирск;
Нижний Новгород;
Казань;
Омск;
Челябинск;
Ростов-на-Дону;
Уфа;
Саратов;",http://www.sotmarket.ru/about/history/,http://screen.sotmarket.ru/20140226-v19-9kb.jpg,
Сотмаркет,6. В каком городе открывается первый удаленный колл-центр компании Сотмаркет?,Радиобаттоны,"Орел;
Санкт-Петербург;
Москва;
Новосибирск;
Нижний Новгород;
Казань;
Омск;
Челябинск;
Ростов-на-Дону;
Уфа;",http://www.sotmarket.ru/about/history/,http://screen.sotmarket.ru/20140226-1y6-11kb.jpg,
Сотмаркет,7. Какое место занимает компания Сотмаркет в 2011 году по величине оборота среди отечественных интернет-магазинов по мнению журнала Секрет Фирмы?,текст,"        третье;
3;
3-е;",http://www.sotmarket.ru/about/history/,http://screen.sotmarket.ru/20140226-cb3-13kb.jpg,
Сотмаркет,"8.  Какой была самая первая ""выручка"" компании?",текст,"27000;
27 тысяч;
двадцать семь тысяч;",http://slon.ru/club33/milliard_v_24_goda_kak_vsevolod_strakh_raskrutil_sotmarket-833195.xhtml,http://screen.sotmarket.ru/20140226-f66-13kb.jpg,
Сотмаркет,"9. В рейтинге какого журнала ""30-ка самых крупных компаний Рунета"" компания Сотмаркет был поставлена на 11 место?",текст,"Форбс;
Forbs",http://www.sotmarket.ru/about/history/,http://screen.sotmarket.ru/20140226-256-12kb.jpg,
Сотмаркет,10. Скольких компаний компания Сотмаркет является официальным диллером?,текст,"60;
шестьдесят;
шестидесяти;
у 60;
у шестьдесят;
у шестидесяти;",http://www.sotmarket.ru/about/#,http://screen.sotmarket.ru/20140226-42t-7kb.jpg,
Пещера Страха,Вопросы про Всеволода Страха,,,,,
Пещера Страха,1. Что было основным товаром компании Всеволода Страха в первые годы? ,радиобаттоны,"дата-кабели;
наушники;
зарядные устройства;
автомобильные зарядные устройства;
аккумуляторы;
защитные пленки;
чехлы для сотовых телефонов;
сотовые телефоны;
ноутбуки;
планшетные компьютеры;",http://slon.ru/club33/milliard_v_24_goda_kak_vsevolod_strakh_raskrutil_sotmarket-833195.xhtml,http://screen.sotmarket.ru/20140226-po0-16kb.jpg,
Пещера Страха,2.  В каком классе Всеволод Страх создал свой первый сайт? ,текст,"6;
в шестом;
шестом;
в 6;",http://roem.ru/2013/02/27/runetology64772/,http://screen.sotmarket.ru/20140226-xqf-133kb.jpg,
Пещера Страха,3.  Каким был первый вклад  Всеволода Страха в развитие бизнеса?,текст,"20000;
20 тысяч;
20-ть тысяч;",http://www.hse.ru/news/alumni/66841519.html, http://screen.sotmarket.ru/20140226-rdh-49kb.jpg,
Пещера Страха,"4.  В чем для В. Страха, как управленца, заключается успешное построение бизнеса?",текст,"автоматизация;
в автоматизации;",http://roem.ru/2013/02/27/runetology64772/,http://screen.sotmarket.ru/20140226-9o5-30kb.jpg,
Пещера Страха,"5. На что хотел заработать В. Страх,будучи школьником, мечтая о собственном бизнесе? ",,"гидроцикл;
на гидроцикл;",http://www.hse.ru/news/110187291.html,http://screen.sotmarket.ru/20140226-aj7-15kb.jpg,
Пещера Страха,6. Каким спортом занимался В.Страх в школе?,радиобаттоны,"пятиборье;
бокс;
плавание;
шахматы;
фехтование;
бобслей;
волейбол;
футбол;
баскетбол;
хоккей;
теннис;",http://www.hse.ru/news/bird/70068410.html,"http://screen.sotmarket.ru/20140226-vms-79kb.jpg

",
Quelle,Вопросы по Quelle,,,,,
Quelle,1. Какую альтернативу коммивояжорам предложил основатель компании Густав Шикеданц?,радиобаттоны,"каталог;
журнал;
рассылка писем;
сеть магазинов;",http://www.quelle.ru/anniversary/,http://screen.sotmarket.ru/20140226-921-63kb.jpg,5 вопросов о интернет-магазине
Quelle,2. Сколько сотрудников работало в компании Quelle в 30-е годы?,текст,"500;
пятьсот;
пять сотен;
500-т;",http://www.quelle.ru/anniversary/,http://screen.sotmarket.ru/20140226-8rt-14kb.jpg,
Quelle,3. Какую часть повседневного гардероба демострировали домохозяйки на одном из каталогов за 1958 г?,радиобаттоны,"фартук;
джинсы;
юбка-солнце;
комбинезон;
купальник;
рубашка;
халат;
свитер;
домашнее платье;",http://www.quelle.ru/anniversary/,http://screen.sotmarket.ru/20140226-l93-13kb.jpg,
Quelle,4. В какую страну отправляет компания заявки после получения заказа?,радиобаттоны,"Германия;
Австрия;
Россия;
Чехия;
Франция;
Италия;
Испания;
Дания;
США;",http://www.quelle.ru/home/content/About_company/,http://screen.sotmarket.ru/20140226-cth-24kb.jpg,
Quelle,5.  Сколько миллионов клиентов было у компании Quelle в 30-е годы?,текст,"2;
2 000 000;
два миллиона;
2 миллиона;",http://www.quelle.ru/anniversary/index__p3.html,http://screen.sotmarket.ru/20140226-i85-25kb.jpg,
Quelle,6.  Кто из всемирно-известных супер-моделей появлялся на обложке каталогов QUELLE? ,радиобаттоны,"Клаудиа Шифер;
Хайди Клум;
Линда Евангелиста;
Тайра Бэнкс;
Жизель Бундхен;
Наталья Водянова;
Наоми Кэмбел;
Адриана Лима;
Алессандра Амброзио;
Иман;",http://www.quelle.ru/anniversary/,http://screen.sotmarket.ru/20140228-2f1-40kb.jpg,
Quelle,7.  В каком году каталоги QUELLE впервые появились в России? ,радиобаттоны,"2004;
2005;
2002;
2000;
1999;
1998;
1996;
1991;
1989;
1988;",http://www.quelle.ru/anniversary/,http://screen.sotmarket.ru/20140228-k9i-61kb.jpg,
Quelle,8.  Как переводится название компании QUELLE?,текст,Источник;,http://www.quelle.ru/anniversary/,http://screen.sotmarket.ru/20140228-qia-60kb.jpg,
Софткей,Вопросы по Софткею,,,,,5 вопросов о интернет-магазине
Софткей,1. Что для компании Softkey - лучшее преимущество в построении бизнеса?,радиобаттон,"честность;
самоотдача;
анализ;
педантичность;
самопожертвование;
ответственность;
исполнительность;
щедрость;
пунктуальность;",http://www.softkey.biz/about/about.php,http://screen.sotmarket.ru/20140226-u5n-33kb.jpg,
Софткей,2. Сколько человек работало в компании Softkey в 2007 году?,текст,"100;
100 человек;
сто;
сто человек;",http://www.softkey.biz/about/history.php,http://screen.sotmarket.ru/20140226-e10-19kb.jpg,
Софткей,"3. Первая социальная сеть, с которой стала сотрудничать компания Softkey ?",радиобаттон,"Одноклассники;
Вконтакте;
Facebook;
Мой мир;
Twitter;
Google+;
Instagram;
Мир тесен;
Привет!ру;
Гайдпарк;
Фотострана;",http://ru.wikipedia.org/wiki/Softkey,http://screen.sotmarket.ru/20140226-gb7-17kb.jpg,
Софткей,"4. Как называется информационный портал, созданный Softkey?",радиобаттоны,"Softkey.info;
Win-rar.ru;
IT4all.ru;
Point4all.ru;
Softkey.Mobi;
Soundkey;
Softkey.net;
POINT4ALL;
Обучение от Softkey;
Softkey.Mobi SDK ;",http://www.softkey.biz/projects/,http://screen.sotmarket.ru/20140226-4ru-51kb.jpg,
Софткей,5. Сколько всего категорий включает каталог сайта Softkey?,текст,"25;
двадцать пять;",http://www.softkey.ru/catalog/,,
Проскейтер,Вопросы по Проскейтеру,,,,,5 вопросов о интернет-магазине
Проскейтер,1. По версии какойго журнала Proskater.ru вошел в рейтинг крупнейших интернет-магазинов 2012 и 2013? ,текст,Коммерсант;,http://www.proskater.ru/,http://screen.sotmarket.ru/20140227-hi6-9kb.jpg,
Проскейтер,2. Как часто производится отправка заказов в интернет-магазине Proskater.ru?,радиобаттоны,"ежедневно;
по выходным;
через день;
в четные дни;
в нечетные дни;
по пятницам;
в понедельник;",http://www.proskater.ru/index.php?cPath=1006_1009,http://screen.sotmarket.ru/20140227-l4p-34kb.jpg,
Проскейтер,3. Сколько дней составляет срок хранения заказа Proskater при доставке dpd ,текст,"3;
три;
3 дня;
три дня;",http://www.proskater.ru/info/delivery,http://my.jetscreenshot.com/demo/20140227-bfsm-102kb,
Проскейтер,4. В течение какого времени магазин Proskater производит 100% возврат?,текст,"14 дней;
две недели;
14-ть дней;
14;
2 недели;",http://www.proskater.ru/,http://my.jetscreenshot.com/demo/20140227-ov2i-126kb,
Проскейтер,"5. Какой должна быть сумма заказа, чтобы получить бесплатную доставку через терминал PickPoint? ",текст,"3500;
три тысячи пятьсот;
три с половиной тысячи;
3.5 тысячи;
3,5 тысячи;",http://www.proskater.ru/info/delivery,http://screen.sotmarket.ru/20140227-6e5-21kb.jpg,
PickPoint,Вопросы по PickPoint,,,,,"5 вопросов о компании (желательно, вопросы в разрезе сотрудничества с Сотмаркетом)"
PickPoint,"1. Как называется автоматизированный терминал PickPoint, в котором можно получить заказ из интернет-магазина Sotmarket?",текст,постамат;,http://pickpoint.ru/about/,http://screen.sotmarket.ru/20140227-549-39kb.jpg,
PickPoint,2. Сколько интернет магазинов объединяет сеть PickPoint?,радиобаттоны,"650;
300;
350;
400;
450;
500;
550;
600;
700;
750;
800;",http://pickpoint.ru/about/,http://screen.sotmarket.ru/20140227-lj6-38kb.jpg,
PickPoint,3. Какой процент покупателей совершают повторный заказ с доставкой Pickpoint?,текст,"26;
26 процентов;
26%;
двадцать шесть;
двадцать шесть процентов;",http://pickpoint.ru/about/,http://screen.sotmarket.ru/20140227-ee4-23kb.jpg,
PickPoint,4. Где обычно установлены терминалы Pickpoint? ,Радиобаттоны,"магазины;
пункты выдачи;
офисы;
почта;
остановки; 
метро;",http://pickpoint.ru/faq/?category=5,http://screen.sotmarket.ru/20140227-tht-14kb.jpg,
PickPoint,"5. 
Сколько минут занимает получение товара через терминал Pickpoint? ",текст,"1;
один;
одну;
одну минуту;
1 минуту;",http://pickpoint.ru/about/innovations/,http://screen.sotmarket.ru/20140227-4wr-4kb.jpg,
Собачка,,,,,,
Курочка,,,,,,
Много.ру,Сколько цифр в номере карты Клуба Много.ру?,текcт,"восемь;
8;",http://www.mnogo.ru/about/,,
Много.ру,Сколько уже Членов Клуба получают призы за бонусы?,радиобаттоны,"более 3 миллионов;
более 2 миллионов;
более 1 миллиона;
более 500 тысяч;
более 100 тысяч;
более 50 тысяч;
более 10 тысяч;
более 1,5 миллионов;
более 2,5 миллионов;
более 1 тысяч;
более 500 человек;",http://www.mnogo.ru/about/,,
Много.ру,В какие регионы доставляются призы из Каталога Много.ру?,радиобаттоны,"Во все уголки страны;
Только по Москве;
В Москву и область;
В Москву и МО, Санкт-Петербург и ЛО;
В Москву, Питер, Новосибирск и Уфу;
Везде, кроме Москвы;
В Москву, Ростов, Краснодар;
В Москву, некоторые города Подмосковья;
Во все города-миллионники
Во все города (в села и деревни не доставляет);
В Москву, Питер, Сочи;",http://www.mnogo.ru/shop/help/faq/,,
Много.ру,"Что нужно, чтобы получить карту Много.ру для бесплатных призов?",радиобаттоны,"В пару кликов заполнить онлайн-анкету
Позвонить в Клуб;
Отправить электронную заявку;
Позвонить в Сотмаркет или другому партнеру;
Отправить заполненную анкету почтой;
Подъехать в офис Клуба;
Вызвать курьера с анкетой на дом;
Пройти тест на пригодность;
Заполнить онлайн-анкету на 5 страниц;
Заказать звонок оператора Клуба;
Отправить заявку и скрин паспорта факсом в Клуб;",http://www.mnogo.ru/anketa.html?range=878,,
Много.ру,"Как называется новая карта Члена Клуба, которая позволяет собирать бонусы на призы не только у партнеров Клуба?",текст,"MnogoCard;
Mnogocard;
Многокард;",http://www.mnogo.ru/mnogocard/,,
Много.ру,Сколько компаний дарят бонусы Много.ру на призы? ,радиобаттоны,"более 40;
35;
30;
27;
25;
20;
17;
15;
10;
5;
2;",http://www.mnogo.ru/enterpr/#tab=all,,
Много.ру,С какого года Члены Клуба могут получать призы за покупки на Сотмаркете?,радиобаттоны,"2011;
2004;
2005;
2006;
2007;
2008;
2009;
2010;
2012;
2013;
2014;",http://www.mnogo.ru/about/,,
Много.ру,Сколько бонусов можно получить за каждые 33 рубля покупки на Сотмаркете?,текст,"1 за 33 рубля;
1 бонус за 33 рубля;
1;
1 бонус;
один;",http://www.sotmarket.ru/partner/mnogo/,,
Много.ру,"Как называется игра Сотмаркета, в которой Члены Клуба также могут получать бонусы (кроме покупок)?",радиобаттоны,"Вопрос дня;
Загадка дня;
Ежедневный вопрос;
Вопрос-переспрос;
Акция дня;
Бонусный вопрос;
Вопрос эрудита;
Загадка;
Дневной вопрос;
Игра дня;
Собери слово;",http://www.sotmarket.ru/promo/,,
